time_s,x_m,y_m,vx_mps,vy_mps,ax_mps2,ay_mps2,speed_mps,accel_mps2
176.1000000000401,29.022919240619373,55.141104505681795,-7.118456845783679,0.8682478955354275,-0.8664460340272959,-0.6980045858565408,7.171212050510444,1.112627130605034
176.20000000004,28.88634648683641,54.899690240618256,-6.627743736724775,0.47495763615671405,-0.732850776939981,-0.7728571463563562,6.644740160144568,1.0650720303977679
176.30000000004014,28.602921319882466,54.5457484052,-6.3195005079980024,0.0016402189712009796,-0.644568640783779,-0.8644952347977392,6.319500720856458,1.0783416636993335
176.40000000004005,28.27445902414018,54.25502536376602,-6.078436059766116,-0.370262722897556,-0.5738738230256175,-0.9305465267316965,6.0897027363109055,1.0932739835770637
176.5000000000402,28.229810826688674,55.045910402651394,-5.571953609407044,0.3660183587943099,-0.4433995370980399,-0.7386458761423003,5.583962434003174,0.8615108123760157
176.6000000000401,28.11227564825226,55.72398008097062,-5.1761297841774425,0.9348131981164498,-0.34154969264508167,-0.5899404037669651,5.259866467698731,0.6816787165099697
176.70000000004023,28.000553769365887,57.04722761071833,-4.804266390720449,2.103755151020975,-0.24760078301905278,-0.30580732444992126,5.244688864790111,0.3934771498306699
176.80000000004014,28.12002928030161,58.02919873405451,-4.230217266634412,2.8433012332824568,-0.10904184873516859,-0.12760707254390619,5.096969690523719,0.16785020029421807
176.90000000004028,27.87062432358805,58.23616550463665,-4.06763479425059,2.75411271496683,-0.0688986340915211,-0.14529176410853892,4.912310013236135,0.16080024408392118
177.0000000000402,27.701371912436375,58.06691633717785,-3.8375913932582577,2.297370935017903,-0.014074458910254009,-0.24761568770355466,4.47269727509865,0.24801536079549738
177.10000000004032,26.540160652505712,58.0242269946686,-4.613366250174415,2.0024725553304985,-0.19325594574769162,-0.3101228577374298,5.0292190738821665,0.36540942442425434
177.20000000004023,25.50599956300871,58.026389661076635,-5.20233262029032,1.7756883652081576,-0.3250655747060809,-0.35542267330655203,5.497029548990287,0.48165641754197636
177.30000000004037,24.687929832536486,57.67667088135541,-5.529901744560625,1.2166732887167178,-0.39334033508016325,-0.4765494600604359,5.662164532753477,0.6179126209140481
177.40000000004028,23.924236788193028,57.41091134577959,-5.7771625611670245,0.7854672537201124,-0.4414526776431989,-0.565299649473062,5.830314405314395,0.7172476282935462
177.50000000004042,23.390929822468284,57.933481649135956,-5.774872033210351,1.1740546810965635,-0.4307078621960274,-0.4623035845067023,5.8930086877723,0.6318495602635312
177.60000000004032,22.8577538657542,58.39396462525073,-5.771658203083591,1.4718740850508305,-0.41999802826375443,-0.38269363825111924,5.956379079228112,0.5682013415184093
177.70000000004046,21.84921371930018,58.64724342917216,-6.241267808833298,1.5411907904789637,-0.5189429982911383,-0.3577992127144434,6.4287396054153545,0.6303349205735566
177.80000000004037,21.27958215519639,59.51395341397373,-6.236293546006669,2.2170207266051993,-0.5057841366630688,-0.19313924577717695,6.6186507759634425,0.5414059116405939
177.9000000000405,20.324516408466156,60.32795119845329,-6.614504075662561,2.788667808778367,-0.581595190747836,-0.05639631168030679,7.178323781682836,0.584323121117207
178.00000000004042,20.01567694113822,60.4097892533432,-6.318523221232772,2.5870443286934552,-0.4996503700202786,-0.10174516927048063,6.827630193257595,0.5099044731430389
178.10000000004055,19.678880852689424,60.67480561306041,-6.072087555368352,2.583664017032685,-0.4310659772848383,-0.10017305274780942,6.598906502820651,0.44255227631246924
178.20000000004046,19.31275541832931,60.938555751921484,-5.872898672279923,2.579508496334073,-0.37500103461209067,-0.0988166897850542,6.414421478007736,0.38780215850380984
178.3000000000406,19.75160737262227,61.675884498914705,-4.886368136601712,3.0476380801410365,-0.13804977623567188,0.011790711533319828,5.758879355735995,0.1385523785331058
178.4000000000405,20.052073024927726,62.34022504633074,-4.113442860817696,3.4069408886303827,0.04399235846489394,0.09465724596391765,5.3411289431948425,0.10438065825035465
178.50000000004064,19.569340988062137,62.375252292625476,-4.180373674998082,3.1114535583555094,0.027487241852245665,0.02409391774338253,5.211205936097722,0.03655222752266583
178.60000000004055,19.106154567224664,62.45000733044538,-4.222735839692131,2.8782692451388807,0.01704899764560182,-0.03042029572789201,5.110374919644619,0.03487209074449281
178.7000000000407,19.099775301011864,62.329497969475455,-3.8068341879968153,2.4686257865042176,0.11289031121010223,-0.12450412153492736,4.537190739730361,0.1680639718806434
178.8000000000406,18.648181765767383,62.605248774946844,-3.866742578602257,2.485571692354545,0.09641588356463889,-0.11770208429462278,4.5967123911563,0.1521505939878267
178.90000000004073,18.092894713850672,62.94356883221364,-4.025540189743957,2.5638025402329365,0.05744060415840145,-0.09687666879213812,4.772636303401787,0.11262553867726358
179.00000000004064,17.649719328891205,62.70424284441188,-4.060546073275992,2.0608132628275073,0.048011442443736035,-0.21102211806456483,4.5535684597294495,0.21641495539352942
179.10000000004078,16.561574901951147,62.44399540437955,-4.735429037039405,1.5762415175711175,-0.10926120012704027,-0.31826469946074476,4.990874220670247,0.336497293861391
179.2000000000407,15.579163024121685,62.24685385069152,-5.252706778165942,1.1926101173139578,-0.22642630165631727,-0.3996691201432085,5.386394655918748,0.4593520171696256
179.30000000004082,14.494252197598609,62.08924333127357,-5.831691782274069,0.8788358545144801,-0.35515880296563396,-0.46302561929618025,5.897540292581569,0.5835499117030122
179.40000000004073,13.495712686972874,61.967873701702224,-6.279198467086241,0.6263976186203295,-0.45048968061547023,-0.5107235157021044,6.31036507388213,0.6810135548079392
179.50000000004087,12.290233651113871,62.23118292898459,-6.897323394734022,0.7777603422038787,-0.5830941795231835,-0.46388190377775657,6.941036029401543,0.7451075377730992
179.60000000004078,11.174352676122213,62.46512094170799,-7.377224869175385,0.8892390202018177,-0.6806466984502824,-0.4273529644200355,7.430625330712703,0.8036855630841342
179.70000000004092,10.963744544804431,62.201213499133324,-6.91682905887461,0.4971689800647192,-0.558365810567875,-0.5081858066704554,6.934673836917697,0.7550001274916591
179.80000000004082,10.333091923852761,62.2844155460955,-6.9090909994371135,0.4822367844361718,-0.5436552242922421,-0.4998820276930983,6.925899996012523,0.7385411596592377
179.90000000004096,9.682071518198311,62.31230800233387,-6.921014762151233,0.4144859133586935,-0.5338345919909879,-0.5039921455419918,6.933415025100408,0.7341576495373489
180.00000000004087,8.97626311767621,62.18843543420035,-6.985393173254719,0.20191676999482538,-0.5363787225960246,-0.5415167734521051,6.988310823579528,0.7621958737645604
180.100000000041,8.485100032697193,62.03849598606625,-6.829787430626662,-0.01900925531634287,-0.4879616772852212,-0.5801068215473917,6.829813884677504,0.7580438792740324
180.2000000000409,7.967576163627527,61.91791585286118,-6.711339936149629,-0.1923496733388046,-0.44926303419736136,-0.6067930602179837,6.714095779432287,0.7550066832981845
180.30000000004105,7.7063894736308045,62.53363097634105,-6.3456709225107515,0.3824812611137117,-0.35425505949235975,-0.4597418437445775,6.357187379014527,0.5803957357403643
180.40000000004096,7.391331663478911,63.05990589494959,-6.0610616527724295,0.8249313163726834,-0.2802019599805017,-0.3467249731752084,6.116942049377354,0.4457929400520646
180.5000000000411,6.495809111959397,63.133368249670994,-6.375980430935297,0.782989962083534,-0.346587649501952,-0.3484069197308614,6.423877313304905,0.49143705650228986
180.600000000041,5.646234354182416,63.20930610662377,-6.620067741380202,0.7475325660633072,-0.3950474860519754,-0.34854961936740425,6.662139433979745,0.5268295297315329
180.70000000004117,5.317709684910728,62.94163514860039,-6.325415900602703,0.37331714731525195,-0.31772672891570025,-0.4270745034980312,6.336422650682095,0.532299639118383
180.80000000004105,4.924661602845282,63.16177284257006,-6.117041240126072,0.5148339292191497,-0.26215884777773113,-0.3844467128953686,6.138668219416842,0.46532411986077143
